,c,h,l,o,s,t,v,wma,ts,date,c_dji,h_dji,l_dji,o_dji,s_dji,t_dji,v_dji,wma_dji,ts_dji,date_dji,day_of_week,day_of_year,is_quarter_end,5wma,vwap,next_1_high,next_1_low,next_3_high,next_3_low,next_5_high,next_5_low,next_7_high,next_7_low,last_1_high,last_1_low,last_3_high,last_3_low,last_5_high,last_5_low,last_7_high,last_7_low
0,4.11,4.12,3.92,4.02,ok,1595376000,2523547,0.0,2020-07-22 00:00:00,2020-07-22,27005.8398,27035.2402,26794.1895,26824.5605,ok,1595424600,404340000,0.0,2020-07-22 13:30:00,2020-07-22,2,204,False,,1.6048839193405154e-06,4.305,4.06,4.305,3.95,4.305,3.92,4.305,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.11,4.305,4.06,4.09,ok,1595462400,3237550,0.0,2020-07-23 00:00:00,2020-07-23,26652.3301,26973.8496,26560.0391,26955.9707,ok,1595511000,419800000,0.0,2020-07-23 13:30:00,2020-07-23,3,205,False,,1.2844074480188205e-06,4.23,4.01,4.23,3.92,4.23,3.92,4.25,3.92,4.12,3.92,0.0,0.0,0.0,0.0,0.0,0.0
2,4.03,4.23,4.01,4.06,ok,1595548800,2216295,4.07,2020-07-24 00:00:00,2020-07-24,26469.8906,26625.6992,26402.8594,26533.4102,ok,1595597400,494170000,26620.028633333335,2020-07-24 13:30:00,2020-07-24,4,206,False,,1.8454222023692693e-06,4.12,3.95,4.18,3.92,4.23,3.92,4.7375,3.92,4.305,4.06,0.0,0.0,0.0,0.0,0.0,0.0
3,4.01,4.12,3.95,4.02,ok,1595808000,2472696,4.033333333333334,2020-07-27 00:00:00,2020-07-27,26584.7695,26625.4609,26426.9199,26447.6699,ok,1595856600,400930000,26557.736633333338,2020-07-27 13:30:00,2020-07-27,0,209,False,,1.628451967676846e-06,4.049,3.92,4.23,3.92,4.25,3.92,4.76,3.92,4.23,4.01,0.0,0.0,0.0,0.0,0.0,0.0
4,3.94,4.049,3.92,3.96,ok,1595894400,4555392,3.978333333333334,2020-07-28 00:00:00,2020-07-28,26379.2793,26556.8398,26361.7109,26529.4492,ok,1595943000,361090000,26462.877916666675,2020-07-28 13:30:00,2020-07-28,1,210,False,4.010666666666666,8.714215300607866e-07,4.18,3.92,4.23,3.92,4.7375,3.92,4.76,3.92,4.12,3.95,0.0,0.0,0.0,0.0,0.0,0.0
5,4.06,4.18,3.92,3.94,ok,1595980800,2879626,4.011666666666668,2020-07-29 00:00:00,2020-07-29,26539.5703,26602.4492,26375.3906,26388.4395,ok,1596029400,347580000,26493.67316666668,2020-07-29 13:30:00,2020-07-29,2,211,False,4.017333333333333,1.4075901986345913e-06,4.23,3.97,4.25,3.97,4.76,3.97,4.76,3.97,4.049,3.92,4.305,3.92,0.0,0.0,0.0,0.0
6,4.1,4.23,3.97,4.0,ok,1596067200,2398485,4.060000000000001,2020-07-30 00:00:00,2020-07-30,26313.6504,26374.9297,25992.2793,26367.4199,ok,1596115800,351540000,26399.895183333352,2020-07-30 13:30:00,2020-07-30,3,212,False,4.040666666666667,1.7094123999107773e-06,4.16,3.99,4.7375,3.99,4.76,3.99,4.76,3.99,4.18,3.92,4.305,3.95,0.0,0.0,0.0,0.0
7,4.01,4.16,3.99,4.06,ok,1596153600,1879553,4.048333333333335,2020-07-31 00:00:00,2020-07-31,26428.3203,26440.0195,26013.5898,26409.3301,ok,1596202200,488050000,26408.63866666669,2020-07-31 13:30:00,2020-07-31,4,213,False,4.034666666666666,2.156541120858701e-06,4.25,3.995,4.76,3.995,4.76,3.995,4.76,3.995,4.23,3.97,4.23,3.92,0.0,0.0,0.0,0.0
8,4.15,4.25,3.995,4.03,ok,1596412800,2518010,4.0950000000000015,2020-08-03 00:00:00,2020-08-03,26664.4004,26707.2598,26534.3809,26542.3203,ok,1596461400,439380000,26527.248700000026,2020-08-03 13:30:00,2020-08-03,0,216,False,4.076666666666666,1.6408460119962458e-06,4.7375,4.13,4.76,4.13,4.76,4.06,4.76,4.06,4.16,3.99,4.18,3.92,0.0,0.0,0.0,0.0
9,4.43,4.7375,4.13,4.13,ok,1596499200,10361363,4.2666666666666675,2020-08-04 00:00:00,2020-08-04,26828.4707,26832.7207,26597.8203,26664.6094,ok,1596547800,346350000,26707.088866666698,2020-08-04 13:30:00,2020-08-04,1,217,False,4.2026666666666666,4.277912085504581e-07,4.76,4.245,4.76,4.06,4.76,4.06,4.76,4.06,4.25,3.995,4.23,3.92,4.305,3.92,0.0,0.0
